anyo,id_territori,territori,nivel_territorial,sexe,valor
1998,,Alpicat,municipi,Total,3600
1998,,Alt Àneu,municipi,Homes,216
1998,,Alt Àneu,municipi,Dones,178
1998,,Alt Àneu,municipi,Total,394
1998,,Altafulla,municipi,Homes,1419
1998,,Altafulla,municipi,Dones,1359
1998,,Altafulla,municipi,Total,2778
1998,,Amer,municipi,Homes,1108
1998,,Amer,municipi,Dones,1133
1998,,Amer,municipi,Total,2241
1998,,"Ametlla de Mar, l'",municipi,Homes,2263
1998,,"Ametlla de Mar, l'",municipi,Dones,2274
1998,,"Ametlla de Mar, l'",municipi,Total,4537
1998,,"Ametlla del Vallès, l'",municipi,Homes,2477
1998,,"Ametlla del Vallès, l'",municipi,Dones,2564
1998,,"Ametlla del Vallès, l'",municipi,Total,5041
1998,,"Ampolla, l'",municipi,Homes,840
1998,,"Ampolla, l'",municipi,Dones,861
1998,,"Ampolla, l'",municipi,Total,1701
1998,,Amposta,municipi,Homes,7896
1998,,Amposta,municipi,Dones,8055
1998,,Amposta,municipi,Total,15951
1998,,Anglès,municipi,Homes,2394
1998,,Anglès,municipi,Dones,2358
1998,,Anglès,municipi,Total,4752
1998,,Anglesola,municipi,Homes,629
1998,,Anglesola,municipi,Dones,613
1998,,Anglesola,municipi,Total,1242
1998,,Arbeca,municipi,Homes,1198
1998,,Arbeca,municipi,Dones,1161
1998,,Arbeca,municipi,Total,2359
1998,,"Arboç, l'",municipi,Homes,1772
1998,,"Arboç, l'",municipi,Dones,1655
1998,,"Arboç, l'",municipi,Total,3427
1998,,Arbolí,municipi,Homes,65
1998,,Arbolí,municipi,Dones,66
1998,,Arbolí,municipi,Total,131
1998,,Arbúcies,municipi,Homes,2401
1998,,Arbúcies,municipi,Dones,2413
1998,,Arbúcies,municipi,Total,4814
1998,,Arenys de Mar,municipi,Homes,5904
1998,,Arenys de Mar,municipi,Dones,6334
1998,,Arenys de Mar,municipi,Total,12238
1998,,Arenys de Munt,municipi,Homes,2837
1998,,Arenys de Munt,municipi,Dones,2922
1998,,Arenys de Munt,municipi,Total,5759
1998,,Argelaguer,municipi,Homes,201
1998,,Argelaguer,municipi,Dones,164
1998,,Argelaguer,municipi,Total,365
1998,,Argençola,municipi,Homes,79
1998,,Argençola,municipi,Dones,84
1998,,Argençola,municipi,Total,163
1998,,"Argentera, l'",municipi,Homes,77
1998,,"Argentera, l'",municipi,Dones,62
1998,,"Argentera, l'",municipi,Total,139
1998,,Argentona,municipi,Homes,4476
1998,,Argentona,municipi,Dones,4483
1998,,Argentona,municipi,Total,8959
1998,,"Armentera, l'",municipi,Homes,374
1998,,"Armentera, l'",municipi,Dones,375
1998,,"Armentera, l'",municipi,Total,749
1998,,Arnes,municipi,Homes,266
1998,,Arnes,municipi,Dones,245
1998,,Arnes,municipi,Total,511
1998,,Arres,municipi,Homes,34
1998,,Arres,municipi,Dones,30
1998,,Arres,municipi,Total,64
1998,,Arsèguel,municipi,Homes,54
1998,,Arsèguel,municipi,Dones,50
1998,,Arsèguel,municipi,Total,104
1998,,Artés,municipi,Homes,2123
1998,,Artés,municipi,Dones,2148
1998,,Artés,municipi,Total,4271
1998,,Artesa de Lleida,municipi,Homes,624
1998,,Artesa de Lleida,municipi,Dones,619
1998,,Artesa de Lleida,municipi,Total,1243
1998,,Artesa de Segre,municipi,Homes,1601
1998,,Artesa de Segre,municipi,Dones,1522
1998,,Artesa de Segre,municipi,Total,3123
1998,,Ascó,municipi,Homes,863
1998,,Ascó,municipi,Dones,848
1998,,Ascó,municipi,Total,1711
1998,,Aspa,municipi,Homes,124
1998,,Aspa,municipi,Dones,124
1998,,Aspa,municipi,Total,248
1998,,"Avellanes i Santa Linya, les",municipi,Homes,256
1998,,"Avellanes i Santa Linya, les",municipi,Dones,227
1998,,"Avellanes i Santa Linya, les",municipi,Total,483
1998,,Avià,municipi,Homes,919
1998,,Avià,municipi,Dones,894
1998,,Avià,municipi,Total,1813
1998,,Avinyó,municipi,Homes,990
1998,,Avinyó,municipi,Dones,1010
1998,,Avinyó,municipi,Total,2000
1998,,Avinyonet de Puigventós,municipi,Homes,271
1998,,Avinyonet de Puigventós,municipi,Dones,266
1998,,Avinyonet de Puigventós,municipi,Total,537
1998,,Avinyonet del Penedès,municipi,Homes,622
1998,,Avinyonet del Penedès,municipi,Dones,565
1998,,Avinyonet del Penedès,municipi,Total,1187
1998,,Badalona,municipi,Homes,103498
1998,,Badalona,municipi,Dones,106108
1998,,Badalona,municipi,Total,209606
1998,,Badia del Vallès,municipi,Homes,8110
1998,,Badia del Vallès,municipi,Dones,7975
1998,,Badia del Vallès,municipi,Total,16085
1998,,Bagà,municipi,Homes,1014
1998,,Bagà,municipi,Dones,1082
1998,,Bagà,municipi,Total,2096
1998,,Baix Pallars,municipi,Homes,193
1998,,Baix Pallars,municipi,Dones,147
1998,,Baix Pallars,municipi,Total,340
1998,,Balaguer,municipi,Homes,6455
1998,,Balaguer,municipi,Dones,6733
1998,,Balaguer,municipi,Total,13188
1998,,Balenyà,municipi,Homes,1554
1998,,Balenyà,municipi,Dones,1565
1998,,Balenyà,municipi,Total,3119
1998,,Balsareny,municipi,Homes,1613
1998,,Balsareny,municipi,Dones,1655
1998,,Balsareny,municipi,Total,3268
