id_tipo_delito,codigo,descripcio,titol_cp,categoria,nivel_tipologia,fuente
255,,1.1.1.-Homicidios dolosos/asesinatos consumados,,,detalle,ministerio_ine
256,,1.2 Asesinato,,,subcategoria,ministerio_ine
257,,1.2.-Lesiones,,,subcategoria,ministerio_ine
258,,1.3 Homicidio por imprudencia,,,subcategoria,ministerio_ine
259,,1.3.-Malos tratos ámbito familiar,,,subcategoria,ministerio_ine
260,,1.4 Inducción al suicidio,,,subcategoria,ministerio_ine
261,,1.4.-Otros contra las personas,,,subcategoria,ministerio_ine
262,,10. ORDEN PÚBLICO,,,categoria,ministerio_ine
263,,11. LEGISLACIÓN ESPECIAL,,,categoria,ministerio_ine
264,,12 Contra las relaciones familiares,,,categoria,ministerio_ine
265,,12. OTRAS INFRACCIONES PENALES,,,categoria,ministerio_ine
266,,12.3 Contra los derechos y deberes familiares,,,subcategoria,ministerio_ine
267,,12.3.1 Quebrantamiento de los deberes de custodia,,,detalle,ministerio_ine
268,,12.3.2 Sustracción de menores,,,detalle,ministerio_ine
269,,12.3.3 Abandono de familia,,,detalle,ministerio_ine
270,,12.99 Otros delitos contra las relaciones familiares,,,subcategoria,ministerio_ine
271,,13 Contra el patrimonio y el orden socioeconómico,,,categoria,ministerio_ine
272,,13.1 Hurtos,,,subcategoria,ministerio_ine
273,,13.14 Receptación y blanqueo de capitales,,,subcategoria,ministerio_ine
274,,13.2 Robos,,,subcategoria,ministerio_ine
275,,13.2.1 Robo con violencia,,,detalle,ministerio_ine
276,,13.2.2 Robo con fuerza,,,detalle,ministerio_ine
277,,13.4 Robo y hurto de uso de vehículo,,,subcategoria,ministerio_ine
278,,13.5 Usurpación,,,subcategoria,ministerio_ine
279,,13.6 Defraudaciones,,,subcategoria,ministerio_ine
280,,13.6.1 Estafas,,,detalle,ministerio_ine
281,,13.6.2 BIS Apropiación indebida,,,detalle,ministerio_ine
282,,13.6.3 Defraudaciones de fluido eléctrico,,,detalle,ministerio_ine
283,,13.9 Daños,,,subcategoria,ministerio_ine
284,,13.99 Otros delitos contra el patrimonio y orden socioeconómico,,,subcategoria,ministerio_ine
285,,17 Contra la seguridad colectiva,,,categoria,ministerio_ine
286,,17.3 Contra la salud pública,,,subcategoria,ministerio_ine
287,,17.4 Contra la seguridad vial,,,subcategoria,ministerio_ine
288,,17.99 Otros delitos contra la seguridad colectiva,,,subcategoria,ministerio_ine
289,,18 Falsedades,,,categoria,ministerio_ine
290,,18.2 Falsedades documentales,,,subcategoria,ministerio_ine
291,,18.2.1 Falsificación documentos públicos,,,detalle,ministerio_ine
292,,18.2.2 Falsificación documentos privados,,,detalle,ministerio_ine
293,,18.2.3 Falsificación de certificados,,,detalle,ministerio_ine
294,,18.2.4 Falsificación de tarjetas de crédito,,,detalle,ministerio_ine
295,,18.99 Otros delitos de las falsedades,,,subcategoria,ministerio_ine
296,,19 Contra la Administración Pública,,,categoria,ministerio_ine
297,,19.3 Desobediencia y denegación auxilio,,,subcategoria,ministerio_ine
298,,19.99 Otros delitos contra la Administración Pública,,,subcategoria,ministerio_ine
299,,2. CONTRA LA LIBERTAD,,,categoria,ministerio_ine
300,,2.1.-Malos tratos habituales en el ámbito familiar,,,subcategoria,ministerio_ine
301,,2.2.-Otros contra la libertad,,,subcategoria,ministerio_ine
302,,20 Contra la Administración de Justicia,,,categoria,ministerio_ine
303,,20.5 Acusación y denuncia falsas y simulación de delitos,,,subcategoria,ministerio_ine
304,,20.5.1 Acusación y denuncias falsas,,,detalle,ministerio_ine
305,,20.5.2 Simulación del delito,,,detalle,ministerio_ine
306,,20.8 Quebrantamiento de condena,,,subcategoria,ministerio_ine
307,,20.99 Otros delitos contra la Administración de Justicia,,,subcategoria,ministerio_ine
308,,22 Contra el orden público,,,categoria,ministerio_ine
309,,22.2 Atentados contra la autoridad y de la resistencia y desobediencia,,,subcategoria,ministerio_ine
310,,22.2.1 Atentados contra la autoridad,,,detalle,ministerio_ine
